gameid,gametype,category,mechanic,playingtime,minplayers,maxplayers,minage,weight,title,year,num_voters,geek_rating,avg_rating
162886,strategygames,Fantasy;; Fighting;; Mythology;; Territory Building,Action Retrieval;; Area Majority / Influence;; Automatic Resource Growth;; Campaign / Battle Card Driven;; Cooperative Game;; Hand Management;; Modular Board;; Set Collection;; Simultaneous Action Selection;; Solo / Solitaire Game;; Tags;; Variable Player Powers;; Variable Set-up,120,1,4,13,4.0619,Spirit Island,2017,44168,8.153,8.36
220308,strategygames,Civilization;; Economic;; Miniatures;; Science Fiction;; Space Exploration;; Territory Building,End Game Bonuses;; Hexagon Grid;; Income;; Modular Board;; Network and Route Building;; Solo / Solitaire Game;; Tags;; Tech Trees / Tech Tracks;; Turn Order: Pass Order;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,150,1,4,12,4.3908,Gaia Project,2017,24525,8.143,8.41
182028,strategygames,Card Game;; Civilization;; Economic,Action Points;; Auction/Bidding;; Auction: Dutch;; Events;; Income;; Open Drafting;; Take That,120,2,4,14,4.4307,Through the Ages: A New Story of Civilization,2015,29577,8.089,8.32
12333,wargames;; strategygames,Modern Warfare;; Political;; Wargame,Action/Event;; Advantage Token;; Area Majority / Influence;; Campaign / Battle Card Driven;; Dice Rolling;; Events;; Hand Management;; Simulation;; Simultaneous Action Selection;; Sudden Death Ending;; Tug of War,180,2,2,13,3.6014,Twilight Struggle,2005,46620,8.081,8.25
193738,strategygames,American West;; Animals;; Economic,"Deck, Bag, and Pool Building;; Hand Management;; Ownership;; Set Collection;; Track Movement;; Variable Set-up",150,2,4,12,3.7038,Great Western Trail,2016,38440,8.068,8.23
169786,strategygames,Economic;; Fighting;; Science Fiction;; Territory Building,Card Play Conflict Resolution;; Contracts;; End Game Bonuses;; Force Commitment;; Grid Movement;; Hexagon Grid;; King of the Hill;; Movement Points;; Solo / Solitaire Game;; Take That;; Tech Trees / Tech Tracks;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource;; Zone of Control,115,1,5,14,3.4361,Scythe,2016,76624,8.019,8.17
84876,strategygames,Dice;; Medieval;; Territory Building,Dice Rolling;; End Game Bonuses;; Grid Coverage;; Hexagon Grid;; Pattern Building;; Tile Placement;; Turn Order: Stat-Based;; Variable Set-up;; Worker Placement with Dice Workers,90,2,4,12,2.991,The Castles of Burgundy,2011,57825,8.006,8.13
173346,strategygames,Ancient;; Card Game;; City Building;; Civilization;; Economic,End Game Bonuses;; Income;; Layering;; Market;; Modular Board;; Multi-Use Cards;; Once-Per-Game Abilities;; Open Drafting;; Set Collection;; Sudden Death Ending;; Tags;; Tech Trees / Tech Tracks;; Tug of War;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,30,2,2,10,2.2254,7 Wonders Duel,2015,84962,7.976,8.1
167355,thematic,Adventure;; Horror;; Miniatures;; Science Fiction,Campaign / Battle Card Driven;; Cooperative Game;; Dice Rolling;; Hand Management;; Hidden Roles;; Modular Board;; Player Elimination;; Semi-Cooperative Game;; Solo / Solitaire Game;; Team-Based Game;; Traitor Game;; Variable Player Powers,180,1,5,12,3.4292,Nemesis,2018,26288,7.972,8.3
28720,strategygames,Economic;; Industry / Manufacturing;; Post-Napoleonic;; Transportation,Hand Management;; Income;; Loans;; Market;; Network and Route Building;; Tech Trees / Tech Tracks;; Turn Order: Stat-Based,120,2,4,14,3.8581,Brass: Lancashire,2007,23498,7.966,8.19
246900,strategygames,Civilization;; Science Fiction;; Space Exploration;; Wargame,Alliances;; Area-Impulse;; Dice Rolling;; Grid Movement;; Hexagon Grid;; Income;; Modular Board;; Passed Action Token;; Tech Trees / Tech Tracks;; Variable Player Powers,200,2,6,14,3.6328,Eclipse: Second Dawn for the Galaxy,2020,10679,7.954,8.5
124361,strategygames,Ancient;; Economic;; Nautical,"Action Retrieval;; Advantage Token;; Auction: Dutch;; Deck, Bag, and Pool Building;; End Game Bonuses;; Hand Management;; Hidden Victory Points;; Movement Points;; Open Drafting;; Point to Point Movement;; Set Collection;; Variable Set-up",100,2,5,13,2.9973,Concordia,2013,37352,7.954,8.1
177736,strategygames,Economic;; Farming;; Industry / Manufacturing;; Medieval;; Puzzle,Automatic Resource Growth;; Dice Rolling;; Grid Coverage;; Income;; Push Your Luck;; Solo / Solitaire Game;; Tile Placement;; Turn Order: Pass Order;; Worker Placement,120,1,4,12,3.8564,A Feast for Odin,2016,25452,7.944,8.18
266507,thematic,Adventure;; Fantasy;; Miniatures,"Deck, Bag, and Pool Building;; Delayed Purchase;; End Game Bonuses;; Events;; Legacy Game;; Map Addition;; Movement Points;; Narrative Choice / Paragraph;; Once-Per-Game Abilities;; Open Drafting;; Pick-up and Deliver;; Player Elimination;; Point to Point Movement;; Push Your Luck;; Scenario / Mission / Campaign Game;; Set Collection;; Variable Player Powers;; Variable Set-up",120,2,4,13,2.7295,Clank!: Legacy – Acquisitions Incorporated,2019,8038,7.939,8.58
266192,strategygames;; familygames,Animals;; Card Game;; Educational,Contracts;; Dice Rolling;; End Game Bonuses;; Hand Management;; Once-Per-Game Abilities;; Open Drafting;; Set Collection;; Solo / Solitaire Game;; Turn Order: Progressive,70,1,5,10,2.4553,Wingspan,2019,79512,7.927,8.07
120677,strategygames,Civilization;; Economic;; Fantasy;; Territory Building,End Game Bonuses;; Hexagon Grid;; Income;; Increase Value of Unchosen Resources;; Network and Route Building;; Tech Trees / Tech Tracks;; Turn Order: Pass Order;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,150,2,5,12,3.9734,Terra Mystica,2012,45811,7.921,8.08
205637,cgs;; thematic,Adventure;; Card Game;; Collectible Components;; Exploration;; Horror;; Novel-based,Action Points;; Area Movement;; Communication Limits;; Cooperative Game;; Deck Construction;; Events;; Hand Management;; Map Deformation;; Modular Board;; Push Your Luck;; Role Playing;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Stat Check Resolution;; Variable Player Powers,120,1,2,14,3.5262,Arkham Horror: The Card Game,2016,39777,7.911,8.14
237182,wargames;; strategygames,Animals;; Fantasy;; Wargame,Action Queue;; Action Retrieval;; Area Majority / Influence;; Area Movement;; Dice Rolling;; Hand Management;; Point to Point Movement;; Race;; Sudden Death Ending;; Variable Player Powers;; Variable Set-up,90,2,4,10,3.7636,Root,2018,43661,7.891,8.08
312484,strategygames,Adventure;; Exploration;; Travel,"Contracts;; Deck, Bag, and Pool Building;; Market;; Multi-Use Cards;; Once-Per-Game Abilities;; Resource to Move;; Solo / Solitaire Game;; Turn Order: Progressive;; Worker Placement",120,1,4,12,2.9031,Lost Ruins of Arnak,2020,35193,7.889,8.08
164928,strategygames,Medieval;; Religious;; Travel,"Contracts;; Deck, Bag, and Pool Building;; End Game Bonuses;; Events;; Point to Point Movement;; Simultaneous Action Selection;; Tech Trees / Tech Tracks;; Turn Order: Progressive;; Variable Set-up",90,2,4,12,3.0254,Orléans,2014,28963,7.876,8.06
199792,strategygames;; familygames,Animals;; Card Game;; City Building;; Fantasy,Contracts;; End Game Bonuses;; Hand Management;; Income;; Open Drafting;; Ownership;; Set Collection;; Solo / Solitaire Game;; Variable Set-up;; Worker Placement,80,1,4,13,2.8033,Everdell,2018,45367,7.871,8.06
96848,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting,"Card Play Conflict Resolution;; Cooperative Game;; Deck, Bag, and Pool Building;; Dice Rolling;; Grid Movement;; Hand Management;; Hexagon Grid;; Modular Board;; Open Drafting;; Role Playing;; Solo / Solitaire Game;; Variable Player Powers",240,1,4,14,4.3506,Mage Knight Board Game,2011,32006,7.862,8.09
183394,strategygames,Economic;; Farming,"Contracts;; Hand Management;; Solo / Solitaire Game;; Turn Order: Auction;; Victory Points as a Resource;; Worker Placement;; Worker Placement, Different Worker Types",90,1,6,13,2.8906,Viticulture Essential Edition,2015,44134,7.861,8.01
251247,strategygames,Economic;; Environmental;; Industry / Manufacturing,Action Retrieval;; Contracts;; End Game Bonuses;; Income;; Network and Route Building;; Ownership;; Solo / Solitaire Game;; Turn Order: Stat-Based;; Variable Player Powers;; Variable Set-up;; Worker Placement,120,1,4,14,4.0884,Barrage,2019,14779,7.845,8.18
341169,strategygames,American West;; Animals;; Economic,"Deck, Bag, and Pool Building;; Hand Management;; Ownership;; Set Collection;; Solo / Solitaire Game;; Track Movement;; Variable Set-up",150,1,4,12,3.7259,Great Western Trail (Second Edition),2021,8314,7.844,8.43
324856,strategygames;; familygames,Card Game;; Nautical;; Science Fiction,Communication Limits;; Cooperative Game;; Hand Management;; Scenario / Mission / Campaign Game;; Trick-taking,20,2,5,10,2.0425,The Crew: Mission Deep Sea,2021,12173,7.832,8.23
175914,strategygames,Economic;; Industry / Manufacturing,"Deck, Bag, and Pool Building;; Delayed Purchase;; Income;; Market;; Modular Board;; Open Drafting;; Simultaneous Action Selection;; Victory Points as a Resource",240,2,5,14,4.2055,Food Chain Magnate,2015,18581,7.82,8.09
192135,thematic;; strategygames,Adventure;; Dice;; Fantasy;; Fighting,"Cooperative Game;; Deck, Bag, and Pool Building;; Dice Rolling;; Die Icon Resolution;; Hand Management;; Resource to Move;; Role Playing;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Stat Check Resolution;; Tech Trees / Tech Tracks;; Turn Order: Role Order;; Variable Player Powers",120,1,4,12,3.8534,Too Many Bones,2017,10767,7.817,8.35
285774,cgs,Card Game;; Collectible Components;; Comic Book / Strip,Cooperative Game;; Deck Construction;; Hand Management;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Turn Order: Progressive;; Variable Player Powers;; Variable Set-up,90,1,4,14,2.9151,Marvel Champions: The Card Game,2019,20616,7.805,8.14
256960,strategygames,Economic;; Educational;; Negotiation;; Political;; Post-Napoleonic;; Spies/Secret Agents,Action Points;; Area Majority / Influence;; Area Movement;; Auction: Dutch;; Hand Management;; Increase Value of Unchosen Resources;; Negotiation;; Open Drafting;; Score-and-Reset Game;; Simulation;; Solo / Solitaire Game,120,1,5,13,3.8422,Pax Pamir: Second Edition,2019,11245,7.8,8.25
3076,strategygames,City Building;; Economic;; Farming,Action Drafting;; End Game Bonuses;; Follow;; Hidden Victory Points;; Increase Value of Unchosen Resources;; Turn Order: Progressive;; Variable Phase Order,150,3,5,12,3.2724,Puerto Rico,2002,69053,7.796,7.93
247763,strategygames,Card Game;; City Building;; Civilization;; Industry / Manufacturing;; Nautical;; Science Fiction,End Game Bonuses;; Hand Management;; Income;; Network and Route Building;; Solo / Solitaire Game;; Turn Order: Stat-Based;; Worker Placement,150,1,4,12,3.6067,Underwater Cities,2018,17142,7.788,8.08
102794,strategygames,Animals;; Economic;; Fantasy;; Farming,Automatic Resource Growth;; Increase Value of Unchosen Resources;; Solo / Solitaire Game;; Tile Placement;; Turn Order: Claim Action;; Worker Placement,210,1,7,12,3.7796,Caverna: The Cave Farmers,2013,33048,7.785,7.97
170216,strategygames,Fantasy;; Fighting;; Miniatures;; Mythology,Action Points;; Area Majority / Influence;; Area Movement;; Card Play Conflict Resolution;; Closed Drafting;; Hand Management;; Map Reduction;; Memory;; Open Drafting;; Simultaneous Action Selection,90,2,4,14,2.8756,Blood Rage,2015,43818,7.779,7.95
185343,strategygames,Economic;; Science Fiction,"Dice Rolling;; Solo / Solitaire Game;; Turn Order: Claim Action;; Variable Player Powers;; Worker Placement;; Worker Placement, Different Worker Types",120,1,4,15,4.0187,Anachrony,2017,16652,7.771,8.1
31260,strategygames,Animals;; Economic;; Farming,Automatic Resource Growth;; Closed Drafting;; Enclosure;; Hand Management;; Increase Value of Unchosen Resources;; Solo / Solitaire Game;; Turn Order: Claim Action;; Variable Player Powers;; Worker Placement,150,1,5,12,3.6368,Agricola,2007,70360,7.769,7.89
295947,abstracts;; familygames,Animals;; Environmental;; Puzzle,End Game Bonuses;; Hexagon Grid;; Open Drafting;; Pattern Building;; Solo / Solitaire Game;; Tile Placement;; Variable Set-up;; Victory Points as a Resource,45,1,4,10,1.8217,Cascadia,2021,25967,7.758,7.98
184267,strategygames,City Building;; Economic;; Exploration;; Science Fiction;; Space Exploration;; Territory Building,Closed Drafting;; Contracts;; Delayed Purchase;; End Game Bonuses;; Hand Management;; Hexagon Grid;; Income;; Movement Points;; Moving Multiple Units;; Set Collection;; Solo / Solitaire Game;; Tech Trees / Tech Tracks;; Tile Placement;; Variable Phase Order;; Worker Placement,150,1,4,14,4.6724,On Mars,2020,10979,7.754,8.22
221107,thematic;; strategygames,Environmental;; Exploration;; Medical;; Science Fiction,Cooperative Game;; Hand Management;; Legacy Game;; Pick-up and Deliver;; Point to Point Movement;; Set Collection;; Tags;; Trading;; Variable Player Powers,60,2,4,14,3.2483,Pandemic Legacy: Season 2,2017,15796,7.74,8.05
314040,thematic;; strategygames,Spies/Secret Agents,Action Points;; Cooperative Game;; Hand Management;; Legacy Game;; Point to Point Movement;; Scenario / Mission / Campaign Game;; Set Collection;; Tags;; Trading;; Variable Player Powers,60,2,4,14,3.1406,Pandemic Legacy: Season 0,2020,6303,7.74,8.46
205059,thematic,Adventure;; Exploration;; Fighting;; Horror;; Miniatures;; Murder/Mystery;; Puzzle,Area Movement;; Cooperative Game;; Dice Rolling;; Hand Management;; Map Addition;; Modular Board;; Role Playing;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Stat Check Resolution;; Traitor Game;; Variable Player Powers,180,1,5,14,2.6701,Mansions of Madness: Second Edition,2016,33618,7.737,7.97
276025,strategygames,Economic;; Exploration;; Pirates,Contracts;; End Game Bonuses;; Events;; Hand Management;; Income;; Movement Points;; Narrative Choice / Paragraph;; Point to Point Movement;; Scenario / Mission / Campaign Game;; Set Collection;; Solo / Solitaire Game;; Stock Holding;; Tech Trees / Tech Tracks;; Track Movement;; Variable Set-up,120,1,4,12,3.9068,Maracaibo,2019,14328,7.734,8.08
521,familygames,Action / Dexterity,Flicking;; Team-Based Game,30,2,4,8,1.2373,Crokinole,1876,16185,7.731,8.0
126163,strategygames,Ancient;; Civilization;; Economic;; Farming;; Mythology,Bias;; End Game Bonuses;; Turn Order: Claim Action;; Worker Placement,90,2,4,13,3.6711,Tzolk'in: The Mayan Calendar,2012,37190,7.72,7.87
255984,thematic,Adventure;; Exploration;; Fantasy;; Nautical,Action Points;; Cooperative Game;; Events;; Hand Management;; Narrative Choice / Paragraph;; Push Your Luck;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Storytelling,1200,1,4,13,3.2323,Sleeping Gods,2021,8348,7.715,8.32
2651,strategygames,Economic;; Industry / Manufacturing,Auction/Bidding;; Auction: Turn Order Until Pass;; Catch the Leader;; Income;; Market;; Network and Route Building;; Turn Order: Stat-Based;; Variable Set-up,120,2,6,12,3.2571,Power Grid,2004,62949,7.715,7.82
284378,strategygames,Economic;; Industry / Manufacturing,Action Points;; Hand Management;; Variable Phase Order;; Worker Placement,180,1,4,14,4.3205,Kanban EV,2020,6043,7.713,8.46
161533,strategygames,City Building;; Economic;; Industry / Manufacturing;; Political,Area Majority / Influence;; Hand Management;; Open Drafting;; Solo / Solitaire Game;; Tile Placement,120,1,4,12,4.5938,Lisboa,2017,9907,7.708,8.19
284083,familygames,Card Game;; Science Fiction;; Space Exploration,Communication Limits;; Cooperative Game;; Hand Management;; Scenario / Mission / Campaign Game;; Trick-taking,20,2,5,10,1.9698,The Crew: The Quest for Planet Nine,2019,36490,7.7,7.85
216132,strategygames,Economic;; Farming,Commodity Speculation;; Contracts;; Market;; Modular Board;; Network and Route Building;; Solo / Solitaire Game;; Turn Order: Pass Order;; Variable Player Powers,120,1,4,12,3.4597,Clans of Caledonia,2017,19180,7.698,7.95
244521,familygames,Medieval,"Catch the Leader;; Deck, Bag, and Pool Building;; Delayed Purchase;; Dice Rolling;; Events;; Market;; Push Your Luck;; Simultaneous Action Selection;; Variable Set-up",45,2,4,10,1.9507,The Quacks of Quedlinburg,2018,42323,7.694,7.84
35677,strategygames,City Building;; Economic;; Industry / Manufacturing;; Nautical,Automatic Resource Growth;; End Game Bonuses;; Increase Value of Unchosen Resources;; Loans;; Ownership;; Solo / Solitaire Game;; Worker Placement,150,1,5,12,3.7302,Le Havre,2008,30279,7.689,7.85
164153,thematic,Adventure;; Exploration;; Fighting;; Miniatures;; Movies / TV / Radio theme;; Science Fiction;; Wargame,Dice Rolling;; Die Icon Resolution;; Grid Movement;; Line of Sight;; Modular Board;; Role Playing;; Scenario / Mission / Campaign Game;; Square Grid;; Team-Based Game;; Variable Player Powers,120,1,5,14,3.3041,Star Wars: Imperial Assault,2014,23728,7.687,7.97
266810,strategygames,Medieval,"End Game Bonuses;; Market;; Open Drafting;; Solo / Solitaire Game;; Worker Placement;; Worker Placement, Different Worker Types",120,1,4,12,3.7123,Paladins of the West Kingdom,2019,15615,7.684,8.0
209010,thematic;; strategygames,Fantasy;; Fighting;; Miniatures;; Video Game Theme,Action Queue;; Bias;; Cooperative Game;; Dice Rolling;; Modular Board;; Open Drafting;; Programmed Movement;; Role Playing;; Slide/Push;; Variable Player Powers,120,2,4,14,2.4332,Mechs vs. Minions,2016,16769,7.682,7.99
125153,strategygames,Economic,"Area Majority / Influence;; Commodity Speculation;; Contracts;; Investment;; Open Drafting;; Point to Point Movement;; Resource to Move;; Set Collection;; Solo / Solitaire Game;; Victory Points as a Resource;; Worker Placement;; Worker Placement, Different Worker Types",150,1,4,13,4.2582,The Gallerist,2015,13326,7.681,8.03
55690,thematic,Adventure;; Fantasy;; Horror;; Mature / Adult;; Miniatures;; Mythology,Cooperative Game;; Critical Hits and Failures;; Dice Rolling;; Grid Movement;; Role Playing;; Solo / Solitaire Game;; Storytelling,180,1,4,17,4.2612,Kingdom Death: Monster,2015,9159,7.664,8.51
124742,cgs,Bluffing;; Card Game;; Collectible Components;; Science Fiction,Action Points;; Deck Construction;; Hand Management;; Race;; Secret Unit Deployment;; Take That;; Variable Player Powers,45,2,2,14,3.4006,Android: Netrunner,2012,29295,7.659,7.88
182874,strategygames,Economic,Action Drafting;; Contracts;; Dice Rolling;; End Game Bonuses;; Hand Management;; Set Collection;; Variable Set-up,120,2,4,12,3.2124,Grand Austria Hotel,2015,18526,7.658,7.92
230802,abstracts;; familygames,Abstract Strategy;; Puzzle;; Renaissance,End Game Bonuses;; Open Drafting;; Pattern Building;; Tile Placement;; Turn Order: Claim Action,45,2,4,8,1.7613,Azul,2017,79536,7.651,7.76
72125,strategygames,Civilization;; Fighting;; Science Fiction;; Space Exploration;; Wargame,Dice Rolling;; Grid Movement;; Hexagon Grid;; Map Addition;; Modular Board;; Player Elimination;; Tile Placement;; Variable Phase Order;; Variable Player Powers,180,2,6,14,3.7038,Eclipse,2011,27894,7.638,7.84
28143,strategygames,Card Game;; Civilization;; Economic;; Science Fiction;; Space Exploration,Follow;; Hand Management;; Income;; Market;; Multi-Use Cards;; Set Collection;; Simultaneous Action Selection;; Tags;; Turn Order: Role Order;; Variable Phase Order;; Variable Player Powers,60,2,4,12,2.9907,Race for the Galaxy,2007,53146,7.637,7.75
253344,thematic,Fantasy;; Fighting;; Horror;; Miniatures;; Novel-based,Action Points;; Cooperative Game;; Dice Rolling;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Variable Player Powers,120,1,5,14,2.4291,Cthulhu: Death May Die,2019,9763,7.636,8.17
191189,strategygames,Card Game;; Fantasy;; Fighting;; Science Fiction,"Chit-Pull System;; Cooperative Game;; Deck, Bag, and Pool Building;; Delayed Purchase;; Hand Management;; Open Drafting;; Solo / Solitaire Game;; Variable Phase Order;; Variable Player Powers;; Variable Set-up",60,1,4,14,2.7938,Aeon's End,2016,18283,7.635,7.93
201808,strategygames;; familygames,Adventure;; Fantasy,"Action Points;; Deck, Bag, and Pool Building;; Delayed Purchase;; End Game Bonuses;; Movement Points;; Open Drafting;; Player Elimination;; Point to Point Movement;; Push Your Luck;; Variable Set-up",60,2,4,12,2.2249,Clank!: A Deck-Building Adventure,2016,38807,7.632,7.79
200680,strategygames,Animals;; Economic;; Farming,Enclosure;; Hand Management;; Worker Placement;; Advantage Token;; Automatic Resource Growth;; Closed Drafting;; Increase Value of Unchosen Resources;; Solo / Solitaire Game;; Team-Based Game;; Turn Order: Claim Action;; Variable Player Powers,120,1,4,12,3.47,Agricola (Revised Edition),2016,15618,7.631,7.97
157354,strategygames,Arabian;; Fantasy;; Mythology,Auction/Bidding;; Constrained Bidding;; End Game Bonuses;; Hidden Victory Points;; Mancala;; Modular Board;; Set Collection;; Square Grid;; Take That;; Turn Order: Auction;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,80,2,4,13,2.85,Five Tribes,2014,39312,7.631,7.78
25613,strategygames,Civilization;; Economic,Action Points;; Auction/Bidding;; Auction: Dutch;; Hand Management;; Open Drafting,120,2,4,12,4.1754,Through the Ages: A Story of Civilization,2006,19019,7.62,7.86
159675,strategygames,Economic;; Farming;; Industry / Manufacturing,Automatic Resource Growth;; Highest-Lowest Scoring;; Income;; Set Collection;; Solo / Solitaire Game;; Turn Order: Claim Action;; Turn Order: Progressive;; Worker Placement,120,1,2,13,3.8665,Fields of Arle,2014,10275,7.617,8.04
229853,strategygames,Ancient,Area Movement;; Rondel;; Set Collection;; Solo / Solitaire Game;; Tile Placement;; Track Movement;; Variable Set-up,120,1,4,14,3.7756,Teotihuacan: City of Gods,2018,18385,7.617,7.88
110327,strategygames,City Building;; Fantasy,Contracts;; Hidden Roles;; Increase Value of Unchosen Resources;; Ownership;; Set Collection;; Take That;; Turn Order: Claim Action;; Worker Placement,120,2,5,12,2.4532,Lords of Waterdeep,2012,53083,7.601,7.74
121921,thematic,Adventure;; Exploration;; Fighting;; Novel-based;; Territory Building,Action Queue;; Area Movement;; Cooperative Game;; Dice Rolling;; Die Icon Resolution;; Events;; Hexagon Grid;; Map Addition;; Movement Points;; Narrative Choice / Paragraph;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Tile Placement;; Turn Order: Progressive;; Variable Player Powers;; Worker Placement,120,1,4,14,3.8074,Robinson Crusoe: Adventures on the Cursed Island,2012,41256,7.6,7.77
171623,strategygames,Dice;; Economic;; Medieval;; Travel,Contracts;; Dice Rolling;; Point to Point Movement;; Resource to Move;; Turn Order: Claim Action;; Variable Player Powers;; Variable Set-up;; Worker Placement with Dice Workers,100,2,4,12,3.1879,The Voyages of Marco Polo,2015,23884,7.598,7.8
366013,familygames,Racing;; Sports,"Catch the Leader;; Deck, Bag, and Pool Building;; Hand Management;; Race;; Simulation;; Simultaneous Action Selection;; Track Movement;; Variable Set-up",60,1,6,10,2.1686,Heat: Pedal to the Metal,2022,8039,7.595,8.17
62219,strategygames,Animals;; Environmental;; Prehistoric,Action Queue;; Area Majority / Influence;; End Game Bonuses;; Grid Movement;; Hexagon Grid;; Map Addition;; Open Drafting;; Take That;; Tile Placement;; Turn Order: Claim Action;; Variable Player Powers;; Worker Placement,240,2,6,14,4.0366,Dominant Species,2010,20307,7.594,7.82
68448,strategygames;; familygames,Ancient;; Card Game;; City Building;; Civilization;; Economic,Closed Drafting;; Hand Management;; Neighbor Scope;; Set Collection;; Simultaneous Action Selection;; Variable Player Powers,30,2,7,10,2.3204,7 Wonders,2010,99169,7.593,7.7
