gameid,gametype,category,mechanic,designer,artist,playingtime,minplayers,maxplayers,minage,weight,urlpic,title,year,num_voters,geek_rating,avg_rating
162886,strategygames,Fantasy;; Fighting;; Mythology;; Territory Building,Action Retrieval;; Area Majority / Influence;; Automatic Resource Growth;; Campaign / Battle Card Driven;; Cooperative Game;; Hand Management;; Modular Board;; Set Collection;; Simultaneous Action Selection;; Solo / Solitaire Game;; Tags;; Variable Player Powers;; Variable Set-up,R. Eric Reuss,Jason Behnke;; Loïc Berger;; Loïc Billiau;; Kat G Birmelin;; Cari Corene;; Lucas Durham;; Rocky Hammer;; Sydni Kruger;; Nolan Nasser;; Jorge Ramos;; Adam Rebottaro;; Moro Rogers;; Graham Sternberg;; Shane Tyree;; Joshua Wright (I),120,1,4,13,4.0619,https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__original/img/9uLd9C3XAvInLCLhAoXqKVk56zs=/0x0/filters:format(jpeg)/pic7013651.jpg,Spirit Island,2017,44188,8.153,8.36
220308,strategygames,Civilization;; Economic;; Miniatures;; Science Fiction;; Space Exploration;; Territory Building,End Game Bonuses;; Hexagon Grid;; Income;; Modular Board;; Network and Route Building;; Solo / Solitaire Game;; Tags;; Tech Trees / Tech Tracks;; Turn Order: Pass Order;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,Jens Drögemüller;; Helge Ostertag,Dennis Lohausen,150,1,4,12,4.3908,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png,Gaia Project,2017,24533,8.143,8.41
182028,strategygames,Card Game;; Civilization;; Economic,Action Points;; Auction/Bidding;; Auction: Dutch;; Events;; Income;; Open Drafting;; Take That,Vlaada Chvátil,Filip Murmak;; Radim Pech;; Jakub Politzer;; Milan Vavroň,120,2,4,14,4.4311,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__original/img/1jawNpljTXwnT4km_2CjGwoUPR8=/0x0/filters:format(jpeg)/pic2663291.jpg,Through the Ages: A New Story of Civilization,2015,29579,8.089,8.32
12333,wargames;; strategygames,Modern Warfare;; Political;; Wargame,Action/Event;; Advantage Token;; Area Majority / Influence;; Campaign / Battle Card Driven;; Dice Rolling;; Events;; Hand Management;; Simulation;; Simultaneous Action Selection;; Sudden Death Ending;; Tug of War,Ananda Gupta;; Jason Matthews,Viktor Csete;; Rodger B. MacGowan;; Chechu Nieto;; Guillaume Ries;; Mark Simonitch,180,2,2,13,3.6014,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__original/img/Iae47UtAd_RXVd5tJ3YzbDHOv4E=/0x0/filters:format(jpeg)/pic3530661.jpg,Twilight Struggle,2005,46624,8.081,8.25
193738,strategygames,American West;; Animals;; Economic,Deck Bag and Pool Building;; Hand Management;; Ownership;; Set Collection;; Track Movement;; Variable Set-up,Alexander Pfister,Andreas Resch,150,2,4,12,3.7038,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__original/img/2zv_XMQoPFWk9Dn0oS4JY1IeFzw=/0x0/filters:format(jpeg)/pic4887376.jpg,Great Western Trail,2016,38443,8.068,8.23
169786,strategygames,Economic;; Fighting;; Science Fiction;; Territory Building,Card Play Conflict Resolution;; Contracts;; End Game Bonuses;; Force Commitment;; Grid Movement;; Hexagon Grid;; King of the Hill;; Movement Points;; Solo / Solitaire Game;; Take That;; Tech Trees / Tech Tracks;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource;; Zone of Control,Jamey Stegmaier,Jakub Rozalski,115,1,5,14,3.4364,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__original/img/HlDb9F365w0tSP8uD1vf1pfniQE=/0x0/filters:format(jpeg)/pic3163924.jpg,Scythe,2016,76635,8.019,8.17
84876,strategygames,Dice;; Medieval;; Territory Building,Dice Rolling;; End Game Bonuses;; Grid Coverage;; Hexagon Grid;; Pattern Building;; Tile Placement;; Turn Order: Stat-Based;; Variable Set-up;; Worker Placement with Dice Workers,Stefan Feld,Julien Delval;; Harald Lieske,90,2,4,12,2.991,https://cf.geekdo-images.com/5CFwjd8zTcGYVUnkXh04hw__original/img/N8btACZrnEYK1amBNk26VBdcGwc=/0x0/filters:format(jpeg)/pic1176894.jpg,The Castles of Burgundy,2011,57835,8.006,8.13
173346,strategygames,Ancient;; Card Game;; City Building;; Civilization;; Economic,End Game Bonuses;; Income;; Layering;; Market;; Modular Board;; Multi-Use Cards;; Once-Per-Game Abilities;; Open Drafting;; Set Collection;; Sudden Death Ending;; Tags;; Tech Trees / Tech Tracks;; Tug of War;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,Antoine Bauza;; Bruno Cathala,Miguel Coimbra,30,2,2,10,2.2262,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__original/img/Ju836WNSaW7Mab9Vjq2TJ_FqhWQ=/0x0/filters:format(jpeg)/pic2576399.jpg,7 Wonders Duel,2015,84981,7.976,8.1
167355,thematic,Adventure;; Horror;; Miniatures;; Science Fiction,Campaign / Battle Card Driven;; Cooperative Game;; Dice Rolling;; Hand Management;; Hidden Roles;; Modular Board;; Player Elimination;; Semi-Cooperative Game;; Solo / Solitaire Game;; Team-Based Game;; Traitor Game;; Variable Player Powers,Adam Kwapiński,Piotr Foksowicz;; Patryk Jędraszek;; Ewa Labak;; Andrzej Półtoranos,180,1,5,12,3.4299,https://cf.geekdo-images.com/tAqLpWxQ0Oo3GaPP3MER1g__original/img/sA6r1p6BO_Tgyc3-xgIESC9Y-vg=/0x0/filters:format(jpeg)/pic5073276.jpg,Nemesis,2018,26300,7.971,8.3
28720,strategygames,Economic;; Industry / Manufacturing;; Post-Napoleonic;; Transportation,Hand Management;; Income;; Loans;; Market;; Network and Route Building;; Tech Trees / Tech Tracks;; Turn Order: Stat-Based,Martin Wallace,Gavan Brown;; Lina Cossette;; Peter Dennis;; David Forest;; Eckhard Freytag;; Damien Mammoliti,120,2,4,14,3.8582,https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__original/img/3ffdJj5Pz6HQrg09Kh8ecTen-TY=/0x0/filters:format(jpeg)/pic3469216.jpg,Brass: Lancashire,2007,23502,7.966,8.19
246900,strategygames,Civilization;; Science Fiction;; Space Exploration;; Wargame,Alliances;; Area-Impulse;; Dice Rolling;; Grid Movement;; Hexagon Grid;; Income;; Modular Board;; Passed Action Token;; Tech Trees / Tech Tracks;; Variable Player Powers,Touko Tahkokallio,Noah Adelman;; Jere Kasanen;; Jukka Rajaniemi;; Sampo Sikiö,200,2,6,14,3.6338,https://cf.geekdo-images.com/Oh3kHw6lweg6ru71Q16h2Q__original/img/yW7d4RNfU1ndISCaPlfGYUyxnRU=/0x0/filters:format(jpeg)/pic5235277.jpg,Eclipse: Second Dawn for the Galaxy,2020,10695,7.954,8.5
124361,strategygames,Ancient;; Economic;; Nautical,Action Retrieval;; Advantage Token;; Auction: Dutch;; Deck Bag and Pool Building;; End Game Bonuses;; Hand Management;; Hidden Victory Points;; Movement Points;; Open Drafting;; Point to Point Movement;; Set Collection;; Variable Set-up,Mac Gerdts,Marina Fahrenbach;; Mac Gerdts;; Dominik Mayer,100,2,5,13,2.9973,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__original/img/BhJ3sB3uk-eSdR1iW4EP3cu0Wi0=/0x0/filters:format(jpeg)/pic3453267.jpg,Concordia,2013,37359,7.954,8.1
177736,strategygames,Economic;; Farming;; Industry / Manufacturing;; Medieval;; Puzzle,Automatic Resource Growth;; Dice Rolling;; Grid Coverage;; Income;; Push Your Luck;; Solo / Solitaire Game;; Tile Placement;; Turn Order: Pass Order;; Worker Placement,Uwe Rosenberg,Dennis Lohausen,120,1,4,12,3.8554,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__original/img/N1X-0JB1GapFVhl98nP4tNFXMcM=/0x0/filters:format(png)/pic3146943.png,A Feast for Odin,2016,25459,7.944,8.18
266507,thematic,Adventure;; Fantasy;; Miniatures,Deck Bag and Pool Building;; Delayed Purchase;; End Game Bonuses;; Events;; Legacy Game;; Map Addition;; Movement Points;; Narrative Choice / Paragraph;; Once-Per-Game Abilities;; Open Drafting;; Pick-up and Deliver;; Player Elimination;; Point to Point Movement;; Push Your Luck;; Scenario / Mission / Campaign Game;; Set Collection;; Variable Player Powers;; Variable Set-up,Andy Clautice;; Paul Dennen,Clay Brooks;; Anika Burrell;; Derek Herring;; Raul Ramos;; Nate Storm;; Alain Viesca,120,2,4,13,2.7295,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__original/img/1Fpyz7j7rTvMPRiDdPjn0Vf0m2k=/0x0/filters:format(png)/pic4885780.png,Clank!: Legacy – Acquisitions Incorporated,2019,8040,7.939,8.58
266192,strategygames;; familygames,Animals;; Card Game;; Educational,Contracts;; Dice Rolling;; End Game Bonuses;; Hand Management;; Once-Per-Game Abilities;; Open Drafting;; Set Collection;; Solo / Solitaire Game;; Turn Order: Progressive,Elizabeth Hargrave,Ana Maria Martinez Jaramillo;; Natalia Rojas;; Greg May;; Beth Sobel,70,1,5,10,2.455,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__original/img/cI782Zis9cT66j2MjSHKJGnFPNw=/0x0/filters:format(jpeg)/pic4458123.jpg,Wingspan,2019,79538,7.927,8.07
120677,strategygames,Civilization;; Economic;; Fantasy;; Territory Building,End Game Bonuses;; Hexagon Grid;; Income;; Increase Value of Unchosen Resources;; Network and Route Building;; Tech Trees / Tech Tracks;; Turn Order: Pass Order;; Variable Player Powers;; Variable Set-up;; Victory Points as a Resource,Jens Drögemüller;; Helge Ostertag,Dennis Lohausen,150,2,5,12,3.9734,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__original/img/_dZS7fVfdc4DhJPbqnDpwTT4uF0=/0x0/filters:format(jpeg)/pic5375624.jpg,Terra Mystica,2012,45816,7.921,8.08
205637,cgs;; thematic,Adventure;; Card Game;; Collectible Components;; Exploration;; Horror;; Novel-based,Action Points;; Area Movement;; Communication Limits;; Cooperative Game;; Deck Construction;; Events;; Hand Management;; Map Deformation;; Modular Board;; Push Your Luck;; Role Playing;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Stat Check Resolution;; Variable Player Powers,Nate French;; Maxine Juniper Newman;; Matthew J. Newman,Christopher Hosch;; Marcin Jakubowski;; Ignacio Bazán Lazcano;; Henning Ludvigsen;; Mercedes Opheim;; Zoe Robinson;; Evan Simonet,120,1,2,14,3.5262,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__original/img/guEKCewM_2e5ugltSN3dTSwdZJI=/0x0/filters:format(jpeg)/pic3122349.jpg,Arkham Horror: The Card Game,2016,39783,7.911,8.14
237182,wargames;; strategygames,Animals;; Fantasy;; Wargame,Action Queue;; Action Retrieval;; Area Majority / Influence;; Area Movement;; Dice Rolling;; Hand Management;; Point to Point Movement;; Race;; Sudden Death Ending;; Variable Player Powers;; Variable Set-up,Cole Wehrle,Kyle Ferrin,90,2,4,10,3.7646,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__original/img/E0s2LvtFA1L5YKk-_44D4u2VD2s=/0x0/filters:format(jpeg)/pic4254509.jpg,Root,2018,43673,7.891,8.08
312484,strategygames,Adventure;; Exploration;; Travel,Contracts;; Deck Bag and Pool Building;; Market;; Multi-Use Cards;; Once-Per-Game Abilities;; Resource to Move;; Solo / Solitaire Game;; Turn Order: Progressive;; Worker Placement,Elwen;; Mín,Ondřej Hrdina;; Jiří Kůs;; Jakub Politzer;; František Sedláček;; Milan Vavroň,120,1,4,12,2.9033,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__original/img/CXqwimJPonWy1oyXEMgPN_ZVmUI=/0x0/filters:format(jpeg)/pic5674958.jpg,Lost Ruins of Arnak,2020,35218,7.889,8.08
164928,strategygames,Medieval;; Religious;; Travel,Contracts;; Deck Bag and Pool Building;; End Game Bonuses;; Events;; Point to Point Movement;; Simultaneous Action Selection;; Tech Trees / Tech Tracks;; Turn Order: Progressive;; Variable Set-up,Reiner Stockhausen,Klemens Franz,90,2,4,12,3.0254,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__original/img/Qn6vlBaTUaHNFsqohIUjd0EA4z0=/0x0/filters:format(jpeg)/pic6228507.jpg,Orléans,2014,28965,7.876,8.06
199792,strategygames;; familygames,Animals;; Card Game;; City Building;; Fantasy,Contracts;; End Game Bonuses;; Hand Management;; Income;; Open Drafting;; Ownership;; Set Collection;; Solo / Solitaire Game;; Variable Set-up;; Worker Placement,James A. Wilson,Andrew Bosley;; Cody Jones;; Dann May,80,1,4,13,2.8036,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__original/img/HQ1ti16wT9lqja5_h3gUfHUIcVI=/0x0/filters:format(png)/pic3918905.png,Everdell,2018,45394,7.871,8.06
96848,thematic;; strategygames,Adventure;; Exploration;; Fantasy;; Fighting,Card Play Conflict Resolution;; Cooperative Game;; Deck Bag and Pool Building;; Dice Rolling;; Grid Movement;; Hand Management;; Hexagon Grid;; Modular Board;; Open Drafting;; Role Playing;; Solo / Solitaire Game;; Variable Player Powers,Vlaada Chvátil,J. Lonnee;; Chris Raimo;; Milan Vavroň,240,1,4,14,4.3508,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__original/img/PDDH38Vf9NEB_4ODURxcJKNBfVQ=/0x0/filters:format(jpeg)/pic1083380.jpg,Mage Knight Board Game,2011,32013,7.862,8.09
183394,strategygames,Economic;; Farming,Contracts;; Hand Management;; Solo / Solitaire Game;; Turn Order: Auction;; Victory Points as a Resource;; Worker Placement;; Worker Placement Different Worker Types,Jamey Stegmaier;; Alan Stone,Jacqui Davis;; David Montgomery;; Beth Sobel,90,1,6,13,2.8898,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__original/img/gDL7OZFlzoOFgU0VYlREs8P5hCQ=/0x0/filters:format(jpeg)/pic6500949.jpg,Viticulture Essential Edition,2015,44141,7.861,8.01
251247,strategygames,Economic;; Environmental;; Industry / Manufacturing,Action Retrieval;; Contracts;; End Game Bonuses;; Income;; Network and Route Building;; Ownership;; Solo / Solitaire Game;; Turn Order: Stat-Based;; Variable Player Powers;; Variable Set-up;; Worker Placement,Tommaso Battista;; Simone Luciani,Mauro Alocci;; Antonio De Luca;; Roman Roland Kuteynikov,120,1,4,14,4.0894,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__original/img/rkHKwkUqpQC7PAGG7n2gbrcQiUY=/0x0/filters:format(png)/pic4336469.png,Barrage,2019,14788,7.845,8.18
341169,strategygames,American West;; Animals;; Economic,Deck Bag and Pool Building;; Hand Management;; Ownership;; Set Collection;; Solo / Solitaire Game;; Track Movement;; Variable Set-up,Alexander Pfister,Chris Quilliams,150,1,4,12,3.7321,https://cf.geekdo-images.com/gDn7AhrDlmfCLSz9ZqoNFQ__original/img/yecB1xO32nnjBAyskVOTq9LBuLo=/0x0/filters:format(jpeg)/pic5988511.jpg,Great Western Trail (Second Edition),2021,8324,7.844,8.43
324856,strategygames;; familygames,Card Game;; Nautical;; Science Fiction,Communication Limits;; Cooperative Game;; Hand Management;; Scenario / Mission / Campaign Game;; Trick-taking,Thomas Sing,Marco Armbruster,20,2,5,10,2.0423,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__original/img/jGWxczXC_VWZofeAmlO_DkB0hCI=/0x0/filters:format(jpeg)/pic5988903.jpg,The Crew: Mission Deep Sea,2021,12182,7.832,8.23
175914,strategygames,Economic;; Industry / Manufacturing,Deck Bag and Pool Building;; Delayed Purchase;; Income;; Market;; Modular Board;; Open Drafting;; Simultaneous Action Selection;; Victory Points as a Resource,Jeroen Doumen;; Joris Wiersinga,Iris de Haan;; Ynze Moedt,240,2,5,14,4.2072,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__original/img/9c-MJB6x54vN5eB-1hT4XQaHtP8=/0x0/filters:format(png)/pic2649434.png,Food Chain Magnate,2015,18583,7.82,8.09
192135,thematic;; strategygames,Adventure;; Dice;; Fantasy;; Fighting,Cooperative Game;; Deck Bag and Pool Building;; Dice Rolling;; Die Icon Resolution;; Hand Management;; Resource to Move;; Role Playing;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Stat Check Resolution;; Tech Trees / Tech Tracks;; Turn Order: Role Order;; Variable Player Powers,Josh J. Carlson;; Adam Carlson,Josh J. Carlson;; Anthony LeTourneau,120,1,4,12,3.8538,https://cf.geekdo-images.com/wKwRk0wYBcrtLAfgn4PCdg__original/img/Wpp0vzsVe4HxXGUqiZ1hDvwAHZU=/0x0/filters:format(png)/pic6624445.png,Too Many Bones,2017,10774,7.816,8.35
285774,cgs,Card Game;; Collectible Components;; Comic Book / Strip,Cooperative Game;; Deck Construction;; Hand Management;; Scenario / Mission / Campaign Game;; Solo / Solitaire Game;; Turn Order: Progressive;; Variable Player Powers;; Variable Set-up,Michael Boggs;; Nate French;; Caleb Grace,,90,1,4,14,2.9151,https://cf.geekdo-images.com/kRvUgYiaOq07kC67ZK5UoQ__original/img/cqng0e4S7Cj6j6Sb49-OCggGi-8=/0x0/filters:format(jpeg)/pic4900321.jpg,Marvel Champions: The Card Game,2019,20620,7.805,8.14
256960,strategygames,Economic;; Educational;; Negotiation;; Political;; Post-Napoleonic;; Spies/Secret Agents,Action Points;; Area Majority / Influence;; Area Movement;; Auction: Dutch;; Hand Management;; Increase Value of Unchosen Resources;; Negotiation;; Open Drafting;; Score-and-Reset Game;; Simulation;; Solo / Solitaire Game,Cole Wehrle,Cole Wehrle,120,1,5,13,3.8407,https://cf.geekdo-images.com/oSM_AuKYfGIwOtKbVEsoVg__original/img/7DlaMCmuoJzm9AzelmStYIDgutI=/0x0/filters:format(png)/pic4503733.png,Pax Pamir: Second Edition,2019,11249,7.799,8.25
3076,strategygames,City Building;; Economic;; Farming,Action Drafting;; End Game Bonuses;; Follow;; Hidden Victory Points;; Increase Value of Unchosen Resources;; Turn Order: Progressive;; Variable Phase Order,Andreas Seyfarth,Harald Lieske;; Franz Vohwinkel,150,3,5,12,3.2724,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__original/img/DOgIp57F7tKZvxeITGAd3e_Q9as=/0x0/filters:format(jpeg)/pic158548.jpg,Puerto Rico,2002,69060,7.796,7.93
247763,strategygames,Card Game;; City Building;; Civilization;; Industry / Manufacturing;; Nautical;; Science Fiction,End Game Bonuses;; Hand Management;; Income;; Network and Route Building;; Solo / Solitaire Game;; Turn Order: Stat-Based;; Worker Placement,Vladimír Suchý,Uildrim;; Milan Vavroň,150,1,4,12,3.6083,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__original/img/1WL5-4DZi0hX76HEgsLIYRRaIh4=/0x0/filters:format(png)/pic4837710.png,Underwater Cities,2018,17143,7.788,8.08
102794,strategygames,Animals;; Economic;; Fantasy;; Farming,Automatic Resource Growth;; Increase Value of Unchosen Resources;; Solo / Solitaire Game;; Tile Placement;; Turn Order: Claim Action;; Worker Placement,Uwe Rosenberg,Javier González Cava;; Klemens Franz,210,1,7,12,3.7796,https://cf.geekdo-images.com/rz22tqa5PCYvK9oDjIbvxg__original/img/h9il8XnFB0iqHNHsNTPNGxJZWdM=/0x0/filters:format(jpeg)/pic1790789.jpg,Caverna: The Cave Farmers,2013,33053,7.785,7.97
